Name	Status	NCBI_TaxID	ICTV
Marine virus AFVG_25M201	NCBI_only	2694347	.
Marine virus AFVG_25M202	NCBI_only	2694348	.
Marine virus AFVG_25M203	NCBI_only	2694349	.
Marine virus AFVG_25M204	NCBI_only	2694350	.
Staphylococcus phage qdsa001	NCBI_only	1970744	.
Staphylococcus phage qdsa002	NCBI_only	1970746	.
Marine virus AFVG_25M207	NCBI_only	2694353	.
Escherichia phage PR01	NCBI_only	2656507	.
Escherichia phage PR03	NCBI_only	2656508	.
Cebus capucinus Lymphocryptovirus 1	NCBI_only	1093779	.
Cebus capucinus Lymphocryptovirus 2	NCBI_only	1093780	.
Thrips tabaci associated mitovirus 1	NCBI_only	2767209	.
Alphacoronavirus BtCoV/GrNC1/Neo_cap/RSA/2012	NCBI_only	1532164	.
Thrips tabaci associated mitovirus 2	NCBI_only	2767210	.
Gammaproteobacteria virus GOV_bin_2604	NCBI_only	2562602	.
Grapevine associated cogu-like virus 2	NCBI_only	2716184	.
Porcine reproductive and respiratory syndrome virus	NCBI_only	28344	.
Cumbaru virus	NCBI_only	2027351	.
Lactococcus phage 936 group phage PhiD.18	NCBI_only	1636575	.
Hantavirus Hu/BRA/46H/2009	NCBI_only	1417604	.
Deer tick mononegavirus	NCBI_only	1517961	.
Microbacterium phage Phractured	NCBI_only	2725605	.
Mycobacterium virus DotProduct	ICTV_only	.	2019.v1.1517
Betacoronavirus BtCoV/Rhi_hip/Slo69/SLO/2009	NCBI_only	1346318	.
Rodent Paramyxovirus Apo_syl/RMU10-2821/GER/2010	NCBI_only	1112333	.
Mortierella verticillata mycovirus 1A	NCBI_only	2783967	.
Tobacco leaf curl Japan betasatellite	Both	2010326	2019.v1.6550
Salmonella phage vB_Sen_I1	NCBI_only	2723910	.
Mynahpox virus	ICTV_only	.	2019.v1.5973
Lupine feces-associated densovirus	NCBI_only	2017717	.
Pseudomonas phage POR1	NCBI_only	1718594	.
Synechococcus virus STIP37	NCBI_only	2733920	.
Zuerich Pelophylax collection ranavirus	NCBI_only	1322248	.
Mycobacterium phage PacerPaul	NCBI_only	1897542	.
Antarctic virus CAA_003_54	NCBI_only	2664240	.
Arthrobacter phage Lego	NCBI_only	2713259	.
Reindeer parapoxvirus	NCBI_only	262725	.
Thrips tabaci associated tombus-like virus 1	NCBI_only	2767260	.
Fitzroy Crossing tenui-like virus 1	NCBI_only	2755159	.
Syconycteris australis gammaretrovirus	NCBI_only	2730658	.
Mycobacterium virus Ibhubesi	Both	1034107	2019.v1.1521
Passiflora edulis symptomless virus	Both	2294149	2019.v1.5592
Cardiovirus 83GR	NCBI_only	1821755	.
Odocoileus hemionus endogenous retrovirus	NCBI_only	980972	.
Tobacco vein banding mosaic virus	Both	33765	2019.v1.5563
Gordonia virus Fairfaxidum	NCBI_only	2731208	.
Shigella phage Z31	NCBI_only	2675202	.
Phalaenopsis chlorotic spot virus	NCBI_only	763077	.
Mycobacterium phage Jamie19	NCBI_only	2743929	.
Mycobacterium phage Melvin	NCBI_only	1429792	.
Mycobacterium phage Luke	NCBI_only	2772028	.
Marine virus AFVG_250C00548	NCBI_only	2573578	.
Mortierella minutissima mycovirus UA	NCBI_only	2783961	.
Marine virus AFVG_250C00545	NCBI_only	2573576	.
Marine virus AFVG_250C00547	NCBI_only	2573577	.
Marine virus AFVG_250C00540	NCBI_only	2573574	.
Marine virus AFVG_250C00541	NCBI_only	2573575	.
Atlantic cod betanodavirus Ac06NorT	NCBI_only	466253	.
Atlantic cod betanodavirus Ac06NorE	NCBI_only	466246	.
Cow vetch latent alphasatellite	ICTV_only	.	2019.v1.6231
Solenopsis invicta tenuivirus	NCBI_only	426419	.
Xanthomonas phage XPV1	NCBI_only	2099860	.
Ape Aime-Itapua virus	NCBI_only	700375	.
Xanthomonas phage XPV3	NCBI_only	2099862	.
Xanthomonas phage XPV2	NCBI_only	2099861	.
Lentinula edodes mycovirus	NCBI_only	2491353	.
Mannheimia phage vB_MhS_1152AP2	NCBI_only	1572747	.
Brazilian penguinpox virus	NCBI_only	1291378	.
Arthrobacter phage OMalley	NCBI_only	2499011	.
Mouse cyclovirus	NCBI_only	1908802	.
Marine virus AFVG_250N01096	NCBI_only	2574529	.
Bifidobacterium phage BadAztec2	NCBI_only	2713244	.
Marco hapavirus	Both	1972620	2019.v1.4346
Osedax japonicus RNA virus 1	NCBI_only	2079458	.
shorebird coronavirus	NCBI_only	1344565	.
Pepper leaf curl virus	Both	83839	2019.v1.2839
Crucivirus-454	NCBI_only	2761307	.
Ipomoea begomovirus satellite DNA beta	NCBI_only	706122	.
Atlantic cod betanodavirus	NCBI_only	1892857	.
Marine virus AFVG_250M148	NCBI_only	2693274	.
Lactococcus phage vB_LLc_bIBB14	NCBI_only	2305480	.
Hollyhock leaf crumple virus satellite DNA beta	NCBI_only	574217	.
Lactococcus phage 56701	NCBI_only	1871685	.
